epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.4056,1.50231,3.74898,1.46444,0.02294,0.69514,0.07628,0.05402,1.22364,3.69715,1.36862,0.000204475,0.000204475,0.000204475
2,46.4242,1.23792,2.78058,1.29025,0.32198,0.36968,0.23153,0.14383,1.40465,2.75014,1.54788,0.000408722,0.000408722,0.000408722
3,69.4759,1.20534,2.30385,1.26849,0.34651,0.47397,0.33011,0.21388,1.28286,2.40378,1.43245,0.000608843,0.000608843,0.000608843
4,92.5145,1.16726,2.0756,1.25153,0.45336,0.55948,0.46958,0.31608,1.19208,2.17379,1.38753,0.000606437,0.000606437,0.000606437
5,115.532,1.14714,1.93216,1.24364,0.5645,0.60793,0.62376,0.40761,1.27296,1.81894,1.41307,0.00060025,0.00060025,0.00060025
6,138.602,1.11164,1.80127,1.20799,0.60748,0.63865,0.64605,0.44214,1.20037,1.79806,1.39984,0.000594062,0.000594062,0.000594062
7,161.705,1.10786,1.71783,1.21367,0.58297,0.62513,0.69958,0.49215,1.13995,1.65937,1.30408,0.000587875,0.000587875,0.000587875
8,184.815,1.07684,1.61122,1.1871,0.72097,0.69125,0.75234,0.52944,1.12254,1.50941,1.31576,0.000581687,0.000581687,0.000581687
9,207.872,1.0671,1.57438,1.1944,0.76145,0.63108,0.74132,0.53002,1.08174,1.48426,1.28115,0.0005755,0.0005755,0.0005755
10,231.003,1.03951,1.50272,1.17679,0.81932,0.7537,0.83278,0.59,1.06776,1.35992,1.25765,0.000569313,0.000569313,0.000569313
11,254.105,1.00101,1.41115,1.16006,0.71109,0.72754,0.77256,0.55435,1.06411,1.43617,1.26726,0.000563125,0.000563125,0.000563125
12,277.15,1.00891,1.37906,1.15347,0.81057,0.7057,0.81591,0.5946,1.06185,1.30872,1.2767,0.000556938,0.000556938,0.000556938
13,300.176,0.99573,1.3634,1.14274,0.86734,0.72371,0.83685,0.60957,1.0436,1.24314,1.25858,0.00055075,0.00055075,0.00055075
14,323.232,0.98468,1.31152,1.13932,0.82658,0.74814,0.83825,0.60011,1.05761,1.25183,1.24762,0.000544563,0.000544563,0.000544563
15,346.21,0.98624,1.29406,1.15203,0.82943,0.75839,0.83928,0.62184,1.01627,1.18083,1.23841,0.000538375,0.000538375,0.000538375
16,369.292,0.98067,1.27133,1.12946,0.83636,0.7798,0.85925,0.62251,1.03709,1.10738,1.23766,0.000532187,0.000532187,0.000532187
17,392.357,0.97375,1.22548,1.12983,0.8652,0.7659,0.87637,0.64202,1.02631,1.12851,1.23728,0.000526,0.000526,0.000526
18,415.502,0.97264,1.22262,1.13461,0.86149,0.80832,0.88466,0.6539,1.01476,1.08155,1.233,0.000519812,0.000519812,0.000519812
19,438.502,0.94646,1.18041,1.11709,0.83177,0.83511,0.88326,0.64801,1.03863,1.06888,1.22246,0.000513625,0.000513625,0.000513625
20,461.537,0.93171,1.15291,1.10423,0.87184,0.78752,0.87532,0.65897,0.98406,1.03177,1.20819,0.000507438,0.000507438,0.000507438
21,484.564,0.93366,1.13449,1.11245,0.86641,0.75796,0.8601,0.63557,0.99161,1.0571,1.2141,0.00050125,0.00050125,0.00050125
22,507.582,0.91988,1.12277,1.10266,0.85823,0.83836,0.90825,0.67757,0.96861,0.95377,1.19189,0.000495063,0.000495063,0.000495063
23,530.618,0.93218,1.13513,1.11334,0.76197,0.82455,0.89069,0.65337,0.97978,1.00415,1.19684,0.000488875,0.000488875,0.000488875
24,553.603,0.94324,1.11541,1.11443,0.89182,0.83621,0.90616,0.67309,1.00128,0.96342,1.20725,0.000482687,0.000482687,0.000482687
25,576.608,0.90948,1.09537,1.09196,0.86074,0.79341,0.87336,0.64373,0.97786,1.01941,1.19119,0.0004765,0.0004765,0.0004765
26,599.748,0.90586,1.07055,1.08877,0.87384,0.85635,0.9121,0.68841,0.94833,0.89528,1.18616,0.000470312,0.000470312,0.000470312
27,622.808,0.90004,1.063,1.09647,0.83385,0.75265,0.8582,0.62915,1.00767,1.04792,1.23199,0.000464125,0.000464125,0.000464125
28,645.836,0.89425,1.03342,1.08374,0.88605,0.81669,0.88931,0.66535,0.95552,0.92575,1.18029,0.000457938,0.000457938,0.000457938
29,668.9,0.90275,1.01689,1.0855,0.8473,0.81455,0.89005,0.67486,0.97388,0.93811,1.19452,0.00045175,0.00045175,0.00045175
30,691.885,0.8938,1.01551,1.08957,0.85914,0.82749,0.89414,0.66818,0.98811,0.97367,1.20568,0.000445562,0.000445562,0.000445562
31,714.893,0.90626,1.03645,1.08695,0.88134,0.82128,0.89814,0.66015,0.97848,0.93672,1.20434,0.000439375,0.000439375,0.000439375
32,737.86,0.89738,1.04398,1.09463,0.87292,0.82631,0.89542,0.67054,0.97144,0.93322,1.19709,0.000433187,0.000433187,0.000433187
33,760.834,0.89813,1.01509,1.09184,0.87388,0.82527,0.89935,0.67954,0.9646,0.90617,1.18146,0.000427,0.000427,0.000427
34,783.879,0.8829,0.9991,1.07524,0.88303,0.81319,0.88513,0.66774,0.96575,0.90024,1.18336,0.000420812,0.000420812,0.000420812
35,806.897,0.88279,0.97491,1.07462,0.89311,0.84118,0.91553,0.68108,0.9877,0.8661,1.1863,0.000414625,0.000414625,0.000414625
