epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.8132,1.62622,3.7257,1.61045,0.02492,0.65317,0.07681,0.04198,1.61311,3.82756,1.54626,0.000204475,0.000204475,0.000204475
2,46.7054,1.38013,2.87434,1.43523,0.31146,0.36803,0.21455,0.11888,1.50768,2.72594,1.54375,0.000408722,0.000408722,0.000408722
3,69.7139,1.36608,2.42316,1.4252,0.4088,0.46508,0.4026,0.23426,1.52887,2.36499,1.54461,0.000608843,0.000608843,0.000608843
4,92.655,1.31057,2.20628,1.40092,0.51712,0.56165,0.54174,0.2873,1.68117,2.08073,1.6383,0.000606437,0.000606437,0.000606437
5,115.71,1.28325,2.00148,1.37791,0.71583,0.62016,0.69403,0.39481,1.52039,1.78195,1.46767,0.00060025,0.00060025,0.00060025
6,138.814,1.24995,1.85531,1.34517,0.74043,0.67325,0.73518,0.4786,1.3078,1.65186,1.37837,0.000594062,0.000594062,0.000594062
7,161.857,1.23391,1.75233,1.34103,0.76313,0.68571,0.77892,0.47977,1.42529,1.59906,1.43107,0.000587875,0.000587875,0.000587875
8,185.049,1.21206,1.63351,1.30108,0.84805,0.71566,0.81199,0.49494,1.39561,1.46823,1.38302,0.000581687,0.000581687,0.000581687
9,208.196,1.19137,1.58334,1.3071,0.85836,0.70431,0.82193,0.53902,1.32983,1.38173,1.39372,0.0005755,0.0005755,0.0005755
10,231.348,1.15919,1.5065,1.27762,0.80966,0.7881,0.8486,0.50526,1.44869,1.36595,1.41307,0.000569313,0.000569313,0.000569313
11,254.465,1.15668,1.44744,1.27371,0.85686,0.78696,0.86641,0.56084,1.30416,1.24387,1.34842,0.000563125,0.000563125,0.000563125
12,277.629,1.15317,1.41652,1.26935,0.85851,0.80097,0.88556,0.59249,1.22925,1.15863,1.30548,0.000556938,0.000556938,0.000556938
13,300.802,1.1384,1.41259,1.25235,0.86439,0.78832,0.88459,0.539,1.4059,1.22562,1.36719,0.00055075,0.00055075,0.00055075
14,323.983,1.1134,1.34226,1.24338,0.89314,0.68604,0.83554,0.48701,1.48474,1.36824,1.44157,0.000544563,0.000544563,0.000544563
15,347.255,1.09063,1.3177,1.24135,0.86698,0.81101,0.88928,0.52031,1.51106,1.19963,1.44661,0.000538375,0.000538375,0.000538375
