epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.2447,0.77163,0.73036,1.04496,0.92262,0.86752,0.92289,0.68393,0.96301,0.67032,1.16933,0.000204475,0.000204475,0.000204475
2,46.0984,0.80073,0.75525,1.05763,0.86187,0.86512,0.90045,0.63474,1.0445,0.75617,1.21411,0.000408722,0.000408722,0.000408722
3,69.0336,0.85901,0.80679,1.08621,0.92395,0.86144,0.90197,0.65694,1.00449,0.73544,1.19481,0.000608843,0.000608843,0.000608843
4,91.9721,0.88045,0.83826,1.09465,0.89224,0.82898,0.89117,0.61737,1.13992,0.82053,1.24823,0.000606437,0.000606437,0.000606437
5,115.02,0.89353,0.84298,1.10171,0.90063,0.85156,0.90904,0.59825,1.21287,0.7519,1.28168,0.00060025,0.00060025,0.00060025
6,138.087,0.88523,0.84375,1.09831,0.91833,0.83567,0.9082,0.65529,1.01342,0.7546,1.18744,0.000594062,0.000594062,0.000594062
7,161.164,0.89437,0.85111,1.1032,0.88813,0.82541,0.89408,0.60243,1.17743,0.84287,1.27078,0.000587875,0.000587875,0.000587875
8,184.267,0.88505,0.83886,1.09143,0.89491,0.85094,0.90828,0.64624,1.04289,0.72095,1.20535,0.000581687,0.000581687,0.000581687
9,207.313,0.9091,0.84927,1.11246,0.89088,0.85185,0.92197,0.65908,1.04901,0.74566,1.21725,0.0005755,0.0005755,0.0005755
10,230.405,0.89792,0.83348,1.10052,0.90369,0.87692,0.91829,0.60919,1.19395,0.73215,1.25021,0.000569313,0.000569313,0.000569313
11,253.479,0.8824,0.82385,1.09853,0.89562,0.83299,0.90562,0.63914,1.08592,0.77096,1.23091,0.000563125,0.000563125,0.000563125
12,276.576,0.89884,0.84419,1.10326,0.90282,0.86476,0.91552,0.65615,1.02363,0.7035,1.18529,0.000556938,0.000556938,0.000556938
13,299.72,0.88894,0.84172,1.09297,0.90419,0.8721,0.90942,0.58907,1.25791,0.7817,1.28278,0.00055075,0.00055075,0.00055075
14,322.77,0.87484,0.80308,1.09154,0.93195,0.84537,0.91179,0.61724,1.11362,0.77199,1.22771,0.000544563,0.000544563,0.000544563
15,345.784,0.86329,0.80608,1.09301,0.86837,0.83768,0.89442,0.61752,1.13262,0.80357,1.24633,0.000538375,0.000538375,0.000538375
16,368.903,0.84478,0.79089,1.07562,0.89967,0.86084,0.91304,0.57661,1.32731,0.8027,1.33583,0.000532187,0.000532187,0.000532187
17,392.008,0.86668,0.81226,1.08743,0.89873,0.84414,0.91514,0.62828,1.14647,0.75978,1.23892,0.000526,0.000526,0.000526
18,415.055,0.85701,0.80101,1.08743,0.90738,0.84749,0.90607,0.60639,1.1764,0.76201,1.2444,0.000519812,0.000519812,0.000519812
19,438.077,0.85101,0.79532,1.07525,0.91157,0.86686,0.92277,0.65007,1.07323,0.74281,1.21418,0.000513625,0.000513625,0.000513625
20,461.178,0.83317,0.78093,1.06948,0.91872,0.8461,0.91831,0.66875,0.99249,0.71887,1.18618,0.000507438,0.000507438,0.000507438
21,484.254,0.84217,0.78433,1.07792,0.92364,0.85852,0.91772,0.66854,0.99494,0.70041,1.1772,0.00050125,0.00050125,0.00050125
22,507.33,0.84201,0.75687,1.07231,0.92055,0.85984,0.92223,0.66243,1.03221,0.68932,1.20033,0.000495063,0.000495063,0.000495063
23,530.454,0.83411,0.77513,1.08347,0.91164,0.86248,0.91589,0.65213,1.06348,0.71246,1.20209,0.000488875,0.000488875,0.000488875
24,553.623,0.84422,0.76266,1.0779,0.90652,0.86638,0.90893,0.60261,1.16709,0.72248,1.2404,0.000482687,0.000482687,0.000482687
25,576.669,0.82755,0.76654,1.06732,0.93122,0.8581,0.92039,0.64037,1.09442,0.71687,1.22706,0.0004765,0.0004765,0.0004765
26,599.74,0.81831,0.75432,1.06255,0.92351,0.85884,0.9103,0.6576,1.01449,0.71537,1.20195,0.000470312,0.000470312,0.000470312
27,622.819,0.83274,0.75369,1.07793,0.88297,0.85064,0.89657,0.65095,1.02077,0.73132,1.19536,0.000464125,0.000464125,0.000464125
28,645.88,0.8211,0.74896,1.06621,0.92221,0.85426,0.91937,0.62142,1.11906,0.71099,1.25262,0.000457938,0.000457938,0.000457938
29,668.907,0.80987,0.73395,1.05985,0.93413,0.85715,0.92738,0.6738,0.98169,0.66101,1.18175,0.00045175,0.00045175,0.00045175
30,691.975,0.82678,0.7486,1.06963,0.91084,0.87035,0.90478,0.61445,1.1415,0.73159,1.23631,0.000445562,0.000445562,0.000445562
